Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
aceh tamiang - seruway,6,0.01,13.34,23.02,0.00,25.90,9.67,100.00,11.55,15.76,79.38,59,
aceh tamiang - kota kualasinpang,4,5.00,13.34,12.60,0.00,0.00,10.19,7.23,12.59,3.51,61.80,226,
aceh tamiang - kejuruan muda,6,0.02,13.34,15.91,0.00,16.82,8.58,100.00,9.07,8.10,82.51,31,
aceh tamiang - tamiang hulu,6,0.02,13.34,15.57,0.00,26.24,9.92,100.00,12.76,18.20,79.90,55,
aceh tamiang - rantau,6,0.01,13.34,27.10,0.00,6.86,9.81,32.73,9.59,4.97,87.59,9,
aceh tamiang - banda mulia,5,0.00,13.34,13.98,0.00,42.64,8.18,76.62,17.89,3.73,76.15,95,
aceh tamiang - bandar pusaka,6,0.01,13.34,11.39,0.00,25.00,8.31,100.00,13.64,13.96,79.14,65,
aceh tamiang - tenggulun,6,0.01,13.34,12.00,0.00,39.60,8.96,100.00,7.24,7.31,80.37,50,
aceh tamiang - sekerak,5,0.04,13.34,12.65,0.00,52.40,8.76,100.00,7.61,21.88,76.07,97,
bener meriah - pintu rime gayo,4,0.09,19.16,17.96,0.00,36.96,9.74,100.00,8.23,24.73,66.09,200,
bener meriah - permata,2,1.85,19.16,27.62,0.00,41.23,9.70,90.20,16.28,42.01,48.91,255,
bener meriah - syiah utama,3,0.00,19.16,37.77,2.74,42.97,9.15,100.00,11.78,34.44,53.53,253,
bener meriah - bandar,4,1.21,19.16,25.39,0.00,10.73,9.70,46.38,15.43,9.06,64.29,216,
bener meriah - bukit,3,0.06,19.16,28.19,0.00,57.97,10.96,88.76,17.29,16.55,60.12,235,
bener meriah - wih pesam,4,0.45,19.16,14.68,0.00,40.06,9.79,26.73,14.97,7.61,66.84,196,
